Яр	Gen
Чък	Exo
Лев	Lev
Сай	Num
Яс	Deu
Йеш	Jos
Хак	Jdg
Рут	Rut
1Са	1Sa
2Са	2Sa
1Кр	1Ki
2Кр	2Ki
1Та	1Ch
2Та	2Ch
Езр	Ezr
Нех	Neh
Ест	Est
Ейп	Job
Мез	Psa
Слм	Pro
Ваи	Ecc
Езг	Sol
Йя	Isa
Йер	Jer
Аъ	Lam
Хез	Eze
Дан	Dan
Хош	Hos
Йое	Joe
Амо	Amo
Ова	Oba
Йун	Jon
Мик	Mic
Нах	Nah
Хаб	Hab
Сеф	Zep
Хаг	Hag
Зек	Zec
Мал	Mal
Мат	Mat
Мар	Mar
Лук	Luk
Йух	Joh
Ел	Act
Ром	Rom
1Ко	1Co
2Ко	2Co
Гал	Gal
Ефе	Eph
Фил	Phi
Кол	Col
1Се	1Th
2Се	2Th
1Ти	1Ti
2Ти	2Ti
Тит	Tit
Флм	Phm
Ибр	Heb
Як	Jam
1Пе	1Pe
2Пе	2Pe
1Йу	1Jo
2Йу	2Jo
3Йу	3Jo
Ях	Jud
Вах	Rev
